EmployeeNumber,Field,Attrition
1798,"Life Sciences",No
1799,"Life Sciences",No
1800,Medical,No
1801,"Life Sciences",No
1802,"Life Sciences",No
1803,Medical,No
1804,Medical,No
1805,"Human Resources",No
1807,"Life Sciences",Yes
1809,Medical,Yes
1812,"Life Sciences",No
1813,"Life Sciences",No
1814,"Life Sciences",No
1815,Marketing,No
1816,Medical,No
1818,Medical,Yes
1821,Medical,Yes
1822,"Life Sciences",No
1823,"Technical Degree",No
1824,Medical,No
1826,Medical,No
1827,"Life Sciences",No
1829,"Life Sciences",No
1830,Medical,No
1833,Marketing,No
1834,Medical,No
1835,Marketing,No
1836,Medical,No
1837,"Life Sciences",No
1839,Medical,No
1842,"Human Resources",Yes
1844,"Human Resources",Yes
1845,"Life Sciences",No
1847,Other,No
1849,"Life Sciences",No
1850,"Life Sciences",No
1852,Medical,No
1853,Marketing,No
1854,"Technical Degree",No
1856,"Life Sciences",No
1857,"Life Sciences",No
1858,"Life Sciences",No
1859,"Life Sciences",No
1860,"Life Sciences",No
1862,Marketing,Yes
1863,"Technical Degree",No
1864,Medical,No
1865,Medical,No
1866,Medical,No
1867,"Life Sciences",No
1868,"Life Sciences",Yes
1869,"Life Sciences",Yes
1870,"Life Sciences",No
1871,Other,No
1873,"Technical Degree",No
1875,Medical,No
1876,Medical,Yes
1878,"Life Sciences",Yes
1880,"Technical Degree",No
1881,"Life Sciences",No
1882,"Life Sciences",No
1883,"Life Sciences",No
1885,Medical,No
1886,Other,No
1888,"Life Sciences",No
1890,"Human Resources",No
1892,"Life Sciences",No
1893,"Life Sciences",No
1898,Medical,No
1900,Medical,No
1903,"Life Sciences",No
1905,"Technical Degree",Yes
1907,"Life Sciences",Yes
1908,Marketing,No
1909,Marketing,No
1911,Medical,No
1912,Medical,No
1915,Medical,No
1916,Medical,No
1918,Other,No
1922,Medical,No
1924,Marketing,No
1927,"Life Sciences",No
1928,"Technical Degree",Yes
1929,"Life Sciences",No
1931,"Technical Degree",No
1932,Other,No
1933,Marketing,Yes
1934,"Technical Degree",No
1935,Marketing,No
1936,Medical,No
1937,Medical,No
1938,"Life Sciences",No
1939,"Life Sciences",Yes
1940,"Life Sciences",No
1941,"Life Sciences",No
1943,Marketing,No
1944,"Human Resources",Yes
1945,Medical,No
1947,Medical,No
1948,Medical,No
1949,"Life Sciences",No
1950,Marketing,No
1951,Medical,No
1952,Medical,No
1954,"Life Sciences",No
1955,Medical,No
1956,"Life Sciences",No
1960,"Technical Degree",Yes
1961,"Life Sciences",No
1962,"Life Sciences",No
1965,Marketing,No
1966,"Life Sciences",No
1967,Marketing,Yes
1968,"Life Sciences",Yes
1969,"Life Sciences",No
1970,"Life Sciences",No
1971,"Life Sciences",No
1972,Other,No
1973,"Human Resources",No
1974,Medical,No
1975,Marketing,No
1976,"Life Sciences",No
1979,Medical,No
1980,Medical,No
1981,"Life Sciences",No
1982,Other,No
1985,"Technical Degree",No
1986,Marketing,No
1987,"Human Resources",No
1989,Medical,No
1992,Other,No
1993,Medical,No
1994,Medical,No
1995,"Life Sciences",No
1996,"Life Sciences",No
1997,"Life Sciences",No
1998,"Life Sciences",No
1999,"Life Sciences",No
2000,Medical,No
2003,Medical,No
2007,"Life Sciences",No
2008,Medical,No
2009,Medical,No
2010,"Life Sciences",No
2012,"Life Sciences",No
2013,Medical,No
2014,"Life Sciences",No
2015,Medical,No
2016,Marketing,No
2017,"Life Sciences",No
2018,Other,No
2019,"Life Sciences",No
2020,Medical,No
2021,Medical,No
2022,"Life Sciences",No
2023,Marketing,Yes
2024,Medical,No
2025,"Life Sciences",No
2026,"Life Sciences",No
2027,Medical,Yes
2031,"Life Sciences",No
2032,"Technical Degree",Yes
2034,"Life Sciences",No
2035,Marketing,No
2036,Marketing,No
2037,"Life Sciences",No
2038,"Technical Degree",No
2040,"Life Sciences",No
2041,"Life Sciences",No
2044,"Life Sciences",Yes
2045,Marketing,No
2046,"Life Sciences",No
2048,"Life Sciences",No
2049,"Life Sciences",No
2051,Medical,No
2052,"Life Sciences",No
2053,Other,No
2054,Medical,No
2055,Marketing,Yes
2056,Marketing,No
2057,Medical,No
2060,Other,No
2061,Medical,No
2062,Medical,No
2064,"Life Sciences",No
2065,Medical,No
2068,Medical,No
